Method,N,EF_MAE,EF_std,EF_r,EDV_MAE,EDV_std,EDV_r,ESV_MAE,ESV_std,ESV_r
SAM2,320,20.04,14.94,0.550,59.2,26.3,0.956,66.6,37.1,0.921
MedSAM2 (ED-anchored),320,20.38,17.32,0.445,23.2,17.3,0.910,33.3,23.5,0.930
MedSAM2 (ES-anchored),320,16.81,7.42,0.858,26.2,18.4,0.946,13.1,9.8,0.979
MedSAM2 (Dual-anchored)†,320,23.38,19.97,0.247,21.7,14.6,0.932,27.4,21.8,0.918
U-Net (supervised),320,6.30,5.18,0.898,9.1,9.5,0.980,10.6,8.3,0.983
DINOv2 (supervised),320,9.70,6.96,0.840,10.8,9.4,0.976,14.3,10.6,0.973
